ID,Prob1
0, 0.53
1, 0.44
2, 0.47
3, 0.40
4, 0.26
5, 0.37
6, 0.48
7, 0.70
8, 0.75
9, 0.45
10, 0.52
11, 0.24
12, 0.51
13, 0.59
14, 0.43
15, 0.31
16, 0.48
17, 0.18
18, 0.44
19, 0.45
20, 0.49
21, 0.44
22, 0.49
23, 0.51
24, 0.38
25, 0.47
26, 0.50
27, 0.31
28, 0.26
29, 0.77
30, 0.24
31, 0.31
32, 0.54
33, 0.39
34, 0.49
35, 0.51
36, 0.28
37, 0.52
38, 0.48
39, 0.51
40, 0.50
41, 0.16
42, 0.40
43, 0.47
44, 0.54
45, 0.41
46, 0.44
47, 0.54
48, 0.48
49, 0.24
50, 0.63
51, 0.37
52, 0.52
53, 0.38
54, 0.50
55, 0.15
56, 0.63
57, 0.41
58, 0.31
59, 0.42
60, 0.46
61, 0.48
62, 0.10
63, 0.40
64, 0.33
65, 0.41
66, 0.74
67, 0.15
68, 0.40
69, 0.33
70, 0.66
71, 0.53
72, 0.53
73, 0.49
74, 0.34
75, 0.57
76, 0.34
77, 0.60
78, 0.34
79, 0.47
80, 0.50
81, 0.35
82, 0.34
83, 0.23
84, 0.39
85, 0.33
86, 0.50
87, 0.34
88, 0.37
89, 0.57
90, 0.41
91, 0.40
92, 0.33
93, 0.50
94, 0.41
95, 0.41
96, 0.53
97, 0.36
98, 0.33
99, 0.45
100, 0.13
101, 0.53
102, 0.56
103, 0.39
104, 0.48
105, 0.43
106, 0.48
107, 0.38
108, 0.40
109, 0.48
110, 0.49
111, 0.49
112, 0.28
113, 0.45
114, 0.46
115, 0.13
116, 0.43
117, 0.36
118, 0.47
119, 0.34
120, 0.30
121, 0.33
122, 0.67
123, 0.55
124, 0.42
125, 0.45
126, 0.54
127, 0.40
128, 0.44
129, 0.28
130, 0.44
131, 0.49
132, 0.37
133, 0.51
134, 0.35
135, 0.51
136, 0.24
137, 0.11
138, 0.46
139, 0.07
140, 0.32
141, 0.50
142, 0.56
143, 0.18
144, 0.31
145, 0.38
146, 0.46
147, 0.24
148, 0.49
149, 0.57
150, 0.56
151, 0.32
152, 0.54
153, 0.54
154, 0.72
155, 0.40
156, 0.39
157, 0.18
158, 0.33
159, 0.30
160, 0.51
161, 0.23
162, 0.24
163, 0.34
164, 0.24
165, 0.48
166, 0.41
167, 0.49
168, 0.25
169, 0.35
170, 0.35
171, 0.52
172, 0.32
173, 0.48
174, 0.42
175, 0.38
176, 0.31
177, 0.43
178, 0.51
179, 0.34
180, 0.49
181, 0.59
182, 0.37
183, 0.27
184, 0.59
185, 0.44
186, 0.47
187, 0.67
188, 0.29
189, 0.47
190, 0.82
191, 0.28
192, 0.65
193, 0.27
194, 0.46
195, 0.51
196, 0.21
197, 0.44
198, 0.37
199, 0.21
200, 0.37
201, 0.47
202, 0.67
203, 0.28
204, 0.43
205, 0.40
206, 0.31
207, 0.49
208, 0.33
209, 0.51
210, 0.38
211, 0.41
212, 0.60
213, 0.50
214, 0.46
215, 0.49
216, 0.55
217, 0.29
218, 0.38
219, 0.50
220, 0.36
221, 0.39
222, 0.16
223, 0.52
224, 0.53
225, 0.35
226, 0.49
227, 0.49
228, 0.53
229, 0.33
230, 0.33
231, 0.53
232, 0.50
233, 0.36
234, 0.21
235, 0.42
236, 0.43
237, 0.44
238, 0.59
239, 0.43
240, 0.45
241, 0.39
242, 0.27
243, 0.25
244, 0.34
245, 0.31
246, 0.46
247, 0.59
248, 0.44
249, 0.46
250, 0.66
251, 0.51
252, 0.13
253, 0.40
254, 0.49
255, 0.25
256, 0.50
257, 0.39
258, 0.81
259, 0.28
260, 0.52
261, 0.39
262, 0.43
263, 0.33
264, 0.29
265, 0.39
266, 0.18
267, 0.52
268, 0.36
269, 0.38
270, 0.09
271, 0.12
272, 0.35
273, 0.32
274, 0.51
275, 0.36
276, 0.76
277, 0.65
278, 0.33
279, 0.42
280, 0.60
281, 0.34
282, 0.30
283, 0.43
284, 0.30
285, 0.52
286, 0.56
287, 0.45
288, 0.38
289, 0.53
290, 0.19
291, 0.39
292, 0.47
293, 0.50
294, 0.20
295, 0.32
296, 0.40
297, 0.07
298, 0.54
299, 0.59
300, 0.48
301, 0.38
302, 0.39
303, 0.42
304, 0.30
305, 0.50
306, 0.45
307, 0.47
308, 0.18
309, 0.54
310, 0.49
311, 0.33
312, 0.49
313, 0.37
314, 0.62
315, 0.44
316, 0.09
317, 0.60
318, 0.38
319, 0.41
320, 0.45
321, 0.46
322, 0.48
323, 0.51
324, 0.28
325, 0.39
326, 0.44
327, 0.50
328, 0.48
329, 0.39
330, 0.13
331, 0.49
332, 0.54
333, 0.51
334, 0.50
335, 0.26
336, 0.51
337, 0.66
338, 0.43
339, 0.45
340, 0.49
341, 0.39
342, 0.21
343, 0.03
344, 0.45
345, 0.53
346, 0.53
347, 0.15
348, 0.36
349, 0.46
350, 0.20
351, 0.47
352, 0.41
353, 0.53
354, 0.26
355, 0.28
356, 0.34
357, 0.49
358, 0.42
359, 0.48
360, 0.31
361, 0.28
362, 0.48
363, 0.52
364, 0.47
365, 0.71
366, 0.45
367, 0.46
368, 0.47
369, 0.50
370, 0.38
371, 0.32
372, 0.32
373, 0.37
374, 0.50
375, 0.28
376, 0.52
377, 0.30
378, 0.52
379, 0.46
380, 0.45
381, 0.54
382, 0.57
383, 0.72
384, 0.49
385, 0.46
386, 0.44
387, 0.42
388, 0.35
389, 0.38
390, 0.35
391, 0.49
392, 0.64
393, 0.41
394, 0.50
395, 0.48
396, 0.55
397, 0.35
398, 0.41
399, 0.76
400, 0.47
401, 0.59
402, 0.04
403, 0.32
404, 0.52
405, 0.31
406, 0.50
407, 0.35
408, 0.45
409, 0.43
410, 0.16
411, 0.50
412, 0.38
413, 0.40
414, 0.43
415, 0.31
416, 0.52
417, 0.33
418, 0.22
419, 0.50
420, 0.49
421, 0.38
422, 0.52
423, 0.30
424, 0.39
425, 0.28
426, 0.38
427, 0.31
428, 0.43
429, 0.16
430, 0.47
431, 0.71
432, 0.20
433, 0.48
434, 0.51
435, 0.41
436, 0.52
437, 0.54
438, 0.42
439, 0.36
440, 0.50
441, 0.40
442, 0.62
443, 0.46
444, 0.27
445, 0.15
446, 0.46
447, 0.30
448, 0.71
449, 0.41
450, 0.34
451, 0.64
452, 0.57
453, 0.40
454, 0.49
455, 0.41
456, 0.62
457, 0.45
458, 0.62
459, 0.45
460, 0.50
461, 0.23
