ID,Prob1
0, 0.47
1, 0.29
2, 0.45
3, 0.23
4, 0.22
5, 0.29
6, 0.30
7, 0.75
8, 0.73
9, 0.23
10, 0.44
11, 0.21
12, 0.49
13, 0.68
14, 0.35
15, 0.28
16, 0.34
17, 0.19
18, 0.24
19, 0.43
20, 0.45
21, 0.26
22, 0.38
23, 0.49
24, 0.23
25, 0.41
26, 0.47
27, 0.20
28, 0.22
29, 0.78
30, 0.19
31, 0.20
32, 0.39
33, 0.25
34, 0.49
35, 0.49
36, 0.20
37, 0.51
38, 0.46
39, 0.42
40, 0.37
41, 0.17
42, 0.24
43, 0.44
44, 0.57
45, 0.28
46, 0.29
47, 0.70
48, 0.45
49, 0.41
50, 0.68
51, 0.23
52, 0.44
53, 0.26
54, 0.60
55, 0.11
56, 0.61
57, 0.23
58, 0.18
59, 0.24
60, 0.45
61, 0.46
62, 0.23
63, 0.23
64, 0.26
65, 0.30
66, 0.81
67, 0.18
68, 0.26
69, 0.27
70, 0.77
71, 0.85
72, 0.57
73, 0.30
74, 0.19
75, 0.55
76, 0.13
77, 0.66
78, 0.19
79, 0.32
80, 0.43
81, 0.19
82, 0.20
83, 0.15
84, 0.26
85, 0.23
86, 0.55
87, 0.16
88, 0.18
89, 0.66
90, 0.22
91, 0.32
92, 0.25
93, 0.51
94, 0.23
95, 0.22
96, 0.45
97, 0.11
98, 0.17
99, 0.58
100, 0.11
101, 0.57
102, 0.45
103, 0.25
104, 0.25
105, 0.21
106, 0.31
107, 0.32
108, 0.35
109, 0.42
110, 0.42
111, 0.38
112, 0.18
113, 0.31
114, 0.42
115, 0.11
116, 0.18
117, 0.27
118, 0.24
119, 0.33
120, 0.24
121, 0.41
122, 0.69
123, 0.58
124, 0.28
125, 0.45
126, 0.55
127, 0.27
128, 0.31
129, 0.14
130, 0.51
131, 0.47
132, 0.16
133, 0.42
134, 0.19
135, 0.46
136, 0.22
137, 0.09
138, 0.38
139, 0.11
140, 0.16
141, 0.37
142, 0.57
143, 0.17
144, 0.34
145, 0.18
146, 0.36
147, 0.24
148, 0.32
149, 0.64
150, 0.66
151, 0.24
152, 0.64
153, 0.31
154, 0.83
155, 0.19
156, 0.38
157, 0.19
158, 0.19
159, 0.28
160, 0.48
161, 0.15
162, 0.22
163, 0.14
164, 0.13
165, 0.45
166, 0.20
167, 0.39
168, 0.21
169, 0.19
170, 0.16
171, 0.46
172, 0.25
173, 0.53
174, 0.30
175, 0.27
176, 0.24
177, 0.26
178, 0.61
179, 0.15
180, 0.47
181, 0.72
182, 0.18
183, 0.21
184, 0.75
185, 0.28
186, 0.63
187, 0.76
188, 0.24
189, 0.27
190, 0.87
191, 0.19
192, 0.49
193, 0.18
194, 0.26
195, 0.57
196, 0.11
197, 0.19
198, 0.33
199, 0.18
200, 0.21
201, 0.26
202, 0.80
203, 0.19
204, 0.37
205, 0.28
206, 0.21
207, 0.39
208, 0.29
209, 0.67
210, 0.43
211, 0.43
212, 0.64
213, 0.43
214, 0.40
215, 0.22
216, 0.46
217, 0.17
218, 0.24
