ID,Prob1
0, 0.45
1, 0.29
2, 0.49
3, 0.23
4, 0.10
5, 0.26
6, 0.34
7, 0.82
8, 0.88
9, 0.15
10, 0.45
11, 0.15
12, 0.44
13, 0.73
14, 0.32
15, 0.15
16, 0.37
17, 0.13
18, 0.24
19, 0.41
20, 0.36
21, 0.29
22, 0.42
23, 0.37
24, 0.18
25, 0.39
26, 0.34
27, 0.10
28, 0.18
29, 0.86
30, 0.09
31, 0.16
32, 0.29
33, 0.15
34, 0.38
35, 0.59
36, 0.09
37, 0.62
38, 0.44
39, 0.60
40, 0.28
41, 0.07
42, 0.31
43, 0.47
44, 0.49
45, 0.19
46, 0.23
47, 0.64
48, 0.46
49, 0.18
50, 0.77
51, 0.18
52, 0.45
53, 0.26
54, 0.63
55, 0.06
56, 0.73
57, 0.26
58, 0.14
59, 0.19
60, 0.38
61, 0.47
62, 0.05
63, 0.16
64, 0.15
65, 0.28
66, 0.87
67, 0.08
68, 0.22
69, 0.18
70, 0.88
71, 0.88
72, 0.61
73, 0.27
74, 0.13
75, 0.55
76, 0.11
77, 0.69
78, 0.16
79, 0.29
80, 0.35
81, 0.12
82, 0.23
83, 0.14
84, 0.31
85, 0.20
86, 0.61
87, 0.15
88, 0.14
89, 0.60
90, 0.17
91, 0.23
92, 0.20
93, 0.53
94, 0.17
95, 0.19
96, 0.33
97, 0.08
98, 0.10
99, 0.52
100, 0.05
101, 0.60
102, 0.45
103, 0.17
104, 0.21
105, 0.22
106, 0.21
107, 0.16
108, 0.24
109, 0.40
110, 0.35
111, 0.34
112, 0.09
113, 0.34
114, 0.36
115, 0.05
116, 0.16
117, 0.23
118, 0.26
119, 0.29
120, 0.14
121, 0.22
122, 0.82
123, 0.63
124, 0.21
125, 0.48
126, 0.53
127, 0.31
128, 0.35
129, 0.12
130, 0.30
131, 0.59
132, 0.21
133, 0.34
134, 0.09
135, 0.35
136, 0.19
137, 0.04
138, 0.33
139, 0.03
140, 0.11
141, 0.36
142, 0.68
143, 0.06
144, 0.28
145, 0.16
146, 0.35
147, 0.12
148, 0.30
149, 0.63
150, 0.71
151, 0.24
152, 0.63
153, 0.22
154, 0.88
155, 0.26
156, 0.34
157, 0.12
158, 0.13
159, 0.19
160, 0.38
161, 0.08
162, 0.14
163, 0.09
164, 0.11
165, 0.36
166, 0.13
167, 0.39
168, 0.08
169, 0.14
170, 0.10
171, 0.50
172, 0.13
173, 0.40
174, 0.28
175, 0.28
176, 0.16
177, 0.25
178, 0.62
179, 0.15
180, 0.42
181, 0.77
182, 0.22
183, 0.21
184, 0.74
185, 0.38
186, 0.58
187, 0.83
188, 0.21
189, 0.34
190, 0.95
191, 0.14
192, 0.61
193, 0.11
194, 0.28
195, 0.53
196, 0.07
197, 0.19
198, 0.28
199, 0.11
200, 0.19
201, 0.20
202, 0.80
203, 0.16
204, 0.32
205, 0.17
206, 0.16
207, 0.39
208, 0.27
209, 0.64
210, 0.51
211, 0.24
212, 0.52
213, 0.41
214, 0.53
215, 0.14
216, 0.63
217, 0.15
218, 0.15
219, 0.46
220, 0.19
221, 0.21
222, 0.06
223, 0.64
224, 0.52
225, 0.18
226, 0.50
227, 0.54
228, 0.37
229, 0.13
230, 0.22
231, 0.73
232, 0.49
233, 0.12
234, 0.23
235, 0.43
236, 0.18
237, 0.33
238, 0.69
239, 0.49
240, 0.38
241, 0.19
242, 0.16
243, 0.22
244, 0.20
245, 0.08
246, 0.21
247, 0.80
248, 0.44
249, 0.17
250, 0.85
251, 0.36
252, 0.06
253, 0.14
254, 0.27
255, 0.08
256, 0.52
257, 0.18
258, 0.93
259, 0.14
260, 0.77
261, 0.19
262, 0.25
263, 0.10
264, 0.22
265, 0.18
266, 0.12
267, 0.49
268, 0.27
269, 0.31
270, 0.05
271, 0.05
272, 0.23
273, 0.22
274, 0.63
275, 0.24
276, 0.86
277, 0.86
278, 0.25
279, 0.16
280, 0.74
281, 0.15
282, 0.15
283, 0.33
284, 0.14
285, 0.61
286, 0.57
287, 0.28
288, 0.22
289, 0.38
290, 0.13
291, 0.24
292, 0.21
293, 0.45
294, 0.08
295, 0.08
296, 0.29
297, 0.06
298, 0.31
299, 0.79
300, 0.26
301, 0.24
302, 0.26
303, 0.34
304, 0.14
305, 0.43
306, 0.34
307, 0.28
308, 0.10
309, 0.67
310, 0.30
311, 0.23
312, 0.33
313, 0.15
314, 0.64
315, 0.24
316, 0.02
317, 0.57
318, 0.32
319, 0.34
320, 0.30
321, 0.38
322, 0.24
323, 0.44
324, 0.25
325, 0.34
326, 0.36
327, 0.42
328, 0.32
329, 0.21
330, 0.12
331, 0.56
332, 0.45
333, 0.35
334, 0.42
335, 0.15
336, 0.46
337, 0.91
338, 0.32
339, 0.17
340, 0.38
341, 0.16
342, 0.07
343, 0.05
344, 0.28
345, 0.61
346, 0.69
347, 0.04
348, 0.09
349, 0.38
350, 0.08
351, 0.38
352, 0.20
353, 0.45
354, 0.30
355, 0.12
356, 0.08
357, 0.51
358, 0.28
359, 0.18
360, 0.26
361, 0.10
362, 0.22
363, 0.56
364, 0.25
365, 0.87
366, 0.22
367, 0.46
368, 0.30
369, 0.40
370, 0.17
371, 0.21
372, 0.23
373, 0.21
374, 0.54
375, 0.11
376, 0.57
377, 0.13
378, 0.59
379, 0.24
380, 0.44
381, 0.19
382, 0.38
383, 0.77
384, 0.38
385, 0.48
386, 0.25
387, 0.31
388, 0.21
389, 0.22
390, 0.10
391, 0.25
392, 0.72
393, 0.24
394, 0.41
395, 0.45
396, 0.60
397, 0.23
398, 0.33
399, 0.89
400, 0.48
401, 0.44
402, 0.04
403, 0.13
404, 0.42
405, 0.14
406, 0.47
407, 0.20
408, 0.21
409, 0.37
410, 0.06
411, 0.55
412, 0.33
413, 0.28
414, 0.19
415, 0.12
416, 0.44
417, 0.19
418, 0.18
419, 0.59
420, 0.33
421, 0.33
422, 0.46
423, 0.16
424, 0.33
425, 0.35
426, 0.15
427, 0.26
428, 0.20
429, 0.04
430, 0.25
431, 0.86
432, 0.11
433, 0.24
434, 0.58
435, 0.21
436, 0.53
437, 0.60
438, 0.27
439, 0.13
440, 0.32
441, 0.17
442, 0.68
443, 0.32
444, 0.13
445, 0.10
446, 0.46
447, 0.16
448, 0.90
449, 0.29
450, 0.22
451, 0.76
452, 0.67
453, 0.37
454, 0.31
455, 0.11
456, 0.82
457, 0.33
458, 0.56
459, 0.26
460, 0.72
461, 0.10
462, 0.14
463, 0.24
464, 0.30
465, 0.07
466, 0.21
467, 0.41
468, 0.27
469, 0.27
470, 0.41
471, 0.37
472, 0.29
473, 0.50
474, 0.38
475, 0.36
476, 0.25
477, 0.13
478, 0.22
479, 0.21
480, 0.14
481, 0.21
482, 0.43
483, 0.51
484, 0.14
485, 0.83
486, 0.64
487, 0.79
488, 0.55
489, 0.60
490, 0.18
491, 0.15
492, 0.08
493, 0.19
494, 0.50
495, 0.33
496, 0.89
497, 0.67
498, 0.86
499, 0.53
500, 0.27
501, 0.19
502, 0.32
503, 0.19
504, 0.55
505, 0.13
506, 0.43
507, 0.06
508, 0.18
509, 0.28
510, 0.36
511, 0.18
512, 0.23
513, 0.06
514, 0.15
515, 0.55
516, 0.15
517, 0.35
518, 0.44
519, 0.88
520, 0.76
521, 0.30
522, 0.36
523, 0.51
524, 0.22
525, 0.51
526, 0.18
527, 0.34
528, 0.55
529, 0.23
530, 0.18
531, 0.49
532, 0.32
533, 0.19
534, 0.85
535, 0.49
536, 0.34
537, 0.15
538, 0.24
539, 0.38
540, 0.12
541, 0.03
542, 0.74
543, 0.45
544, 0.17
545, 0.64
546, 0.52
547, 0.13
548, 0.78
549, 0.14
550, 0.46
551, 0.23
552, 0.81
553, 0.19
554, 0.25
555, 0.09
556, 0.18
557, 0.16
558, 0.42
559, 0.15
560, 0.23
561, 0.31
562, 0.09
563, 0.24
564, 0.27
565, 0.33
566, 0.08
567, 0.57
568, 0.30
569, 0.25
570, 0.35
571, 0.13
572, 0.13
573, 0.42
574, 0.51
575, 0.33
576, 0.15
577, 0.53
578, 0.25
579, 0.35
580, 0.62
581, 0.16
582, 0.59
583, 0.44
584, 0.10
585, 0.22
586, 0.74
587, 0.50
588, 0.13
589, 0.87
590, 0.07
591, 0.12
592, 0.85
593, 0.40
594, 0.26
595, 0.44
596, 0.42
597, 0.33
598, 0.20
599, 0.21
600, 0.41
601, 0.23
602, 0.23
603, 0.80
604, 0.06
605, 0.10
606, 0.49
607, 0.05
608, 0.39
609, 0.33
610, 0.49
611, 0.64
612, 0.45
613, 0.58
614, 0.32
615, 0.07
616, 0.37
617, 0.22
618, 0.09
619, 0.27
620, 0.47
621, 0.67
622, 0.29
623, 0.36
624, 0.22
625, 0.25
626, 0.29
627, 0.25
628, 0.43
629, 0.72
630, 0.52
631, 0.51
632, 0.27
633, 0.14
634, 0.16
635, 0.59
636, 0.42
637, 0.22
638, 0.47
639, 0.24
640, 0.18
641, 0.53
642, 0.42
643, 0.47
644, 0.55
645, 0.08
646, 0.21
647, 0.15
648, 0.18
649, 0.20
650, 0.33
651, 0.26
652, 0.87
653, 0.08
654, 0.18
655, 0.27
656, 0.32
657, 0.76
658, 0.45
659, 0.23
660, 0.84
661, 0.32
662, 0.11
663, 0.12
664, 0.82
665, 0.14
666, 0.13
667, 0.25
668, 0.88
669, 0.17
670, 0.04
671, 0.18
672, 0.18
673, 0.07
674, 0.20
675, 0.57
676, 0.26
677, 0.46
678, 0.23
679, 0.20
680, 0.84
681, 0.29
682, 0.22
683, 0.81
684, 0.44
