ID,Prob1
0, 0.45
1, 0.29
2, 0.50
3, 0.23
4, 0.06
5, 0.25
6, 0.35
7, 0.84
8, 0.92
9, 0.13
10, 0.45
11, 0.14
12, 0.43
13, 0.74
14, 0.32
15, 0.12
16, 0.38
17, 0.12
18, 0.24
19, 0.40
20, 0.33
21, 0.30
22, 0.43
23, 0.35
24, 0.16
25, 0.38
26, 0.31
27, 0.08
28, 0.17
29, 0.88
30, 0.06
31, 0.15
32, 0.26
33, 0.12
34, 0.36
35, 0.61
36, 0.06
37, 0.65
38, 0.43
39, 0.64
40, 0.26
41, 0.05
42, 0.33
43, 0.48
44, 0.47
45, 0.17
46, 0.22
47, 0.62
48, 0.46
49, 0.12
50, 0.80
51, 0.17
52, 0.45
53, 0.26
54, 0.63
55, 0.05
56, 0.76
57, 0.27
58, 0.13
59, 0.18
60, 0.36
61, 0.47
62, 0.01
63, 0.14
64, 0.12
65, 0.27
66, 0.88
67, 0.05
68, 0.21
69, 0.16
70, 0.91
71, 0.89
72, 0.62
73, 0.26
74, 0.11
75, 0.55
76, 0.11
77, 0.70
78, 0.15
79, 0.29
80, 0.33
81, 0.10
82, 0.24
83, 0.13
84, 0.32
85, 0.20
86, 0.63
87, 0.15
88, 0.13
89, 0.59
90, 0.16
91, 0.21
92, 0.19
93, 0.54
94, 0.16
95, 0.18
96, 0.31
97, 0.07
98, 0.09
99, 0.51
100, 0.04
101, 0.61
102, 0.46
103, 0.15
104, 0.20
105, 0.22
106, 0.19
107, 0.12
108, 0.22
109, 0.39
110, 0.33
111, 0.33
112, 0.07
113, 0.35
114, 0.35
115, 0.03
116, 0.16
117, 0.21
118, 0.26
119, 0.28
120, 0.11
121, 0.17
122, 0.85
123, 0.64
124, 0.19
125, 0.49
126, 0.53
127, 0.32
128, 0.36
129, 0.12
130, 0.24
131, 0.63
132, 0.22
133, 0.32
134, 0.07
135, 0.33
136, 0.18
137, 0.03
138, 0.32
139, 0.01
140, 0.10
141, 0.36
142, 0.70
143, 0.03
144, 0.27
145, 0.15
146, 0.35
147, 0.09
148, 0.29
149, 0.62
150, 0.72
151, 0.24
152, 0.63
153, 0.20
154, 0.90
155, 0.28
156, 0.33
157, 0.10
158, 0.12
159, 0.16
160, 0.36
161, 0.06
162, 0.12
163, 0.08
164, 0.11
165, 0.34
166, 0.11
167, 0.39
168, 0.05
169, 0.13
170, 0.08
171, 0.51
172, 0.10
173, 0.36
174, 0.27
175, 0.28
176, 0.14
177, 0.25
178, 0.62
179, 0.15
180, 0.40
181, 0.78
182, 0.23
183, 0.21
184, 0.73
185, 0.40
186, 0.56
187, 0.85
188, 0.20
189, 0.35
190, 0.97
191, 0.13
192, 0.64
193, 0.09
194, 0.29
195, 0.52
196, 0.06
197, 0.18
198, 0.27
199, 0.10
200, 0.19
201, 0.19
202, 0.80
203, 0.16
204, 0.31
205, 0.14
206, 0.15
207, 0.39
208, 0.26
209, 0.63
210, 0.53
211, 0.19
212, 0.49
213, 0.40
214, 0.56
215, 0.12
216, 0.68
217, 0.14
218, 0.13
219, 0.47
220, 0.17
221, 0.21
222, 0.04
223, 0.65
224, 0.53
225, 0.16
226, 0.52
227, 0.57
228, 0.33
229, 0.14
230, 0.20
231, 0.75
232, 0.47
233, 0.09
234, 0.22
235, 0.43
236, 0.16
237, 0.30
238, 0.69
239, 0.52
240, 0.38
241, 0.19
242, 0.13
243, 0.22
244, 0.18
245, 0.06
246, 0.20
247, 0.83
248, 0.43
249, 0.15
250, 0.85
251, 0.36
252, 0.04
253, 0.14
254, 0.24
255, 0.07
256, 0.51
257, 0.18
258, 0.95
259, 0.12
260, 0.77
261, 0.16
262, 0.24
263, 0.08
264, 0.22
265, 0.16
266, 0.13
267, 0.50
268, 0.27
269, 0.27
270, 0.02
271, 0.04
272, 0.21
273, 0.19
274, 0.64
275, 0.23
276, 0.89
277, 0.86
278, 0.24
279, 0.12
280, 0.74
281, 0.14
282, 0.14
283, 0.31
284, 0.14
285, 0.62
286, 0.57
287, 0.25
288, 0.24
289, 0.37
290, 0.12
291, 0.22
292, 0.20
293, 0.46
294, 0.05
295, 0.07
296, 0.28
297, 0.03
298, 0.28
299, 0.79
300, 0.25
301, 0.21
302, 0.20
303, 0.30
304, 0.13
305, 0.42
306, 0.32
307, 0.27
308, 0.07
309, 0.65
310, 0.27
311, 0.24
312, 0.32
313, 0.16
314, 0.64
315, 0.22
316, 0.01
317, 0.58
318, 0.31
319, 0.32
320, 0.31
321, 0.37
322, 0.22
323, 0.44
324, 0.24
325, 0.35
326, 0.35
327, 0.41
328, 0.30
329, 0.20
330, 0.11
331, 0.58
332, 0.44
333, 0.33
334, 0.41
335, 0.13
336, 0.46
337, 0.92
338, 0.33
339, 0.14
340, 0.37
341, 0.15
342, 0.06
343, 0.03
344, 0.27
345, 0.62
346, 0.71
347, 0.03
348, 0.08
349, 0.37
350, 0.05
351, 0.38
352, 0.20
353, 0.46
354, 0.29
355, 0.09
356, 0.06
357, 0.51
358, 0.24
359, 0.16
360, 0.26
361, 0.10
362, 0.19
363, 0.56
364, 0.23
365, 0.91
366, 0.21
367, 0.47
368, 0.29
369, 0.37
370, 0.16
371, 0.20
372, 0.20
373, 0.20
374, 0.56
375, 0.08
376, 0.56
377, 0.12
378, 0.59
379, 0.23
380, 0.43
381, 0.15
382, 0.36
383, 0.78
384, 0.37
385, 0.51
386, 0.24
387, 0.29
388, 0.20
389, 0.20
390, 0.07
391, 0.25
392, 0.74
393, 0.23
394, 0.39
395, 0.47
396, 0.59
397, 0.24
398, 0.35
399, 0.91
400, 0.50
401, 0.44
402, 0.02
403, 0.13
404, 0.38
405, 0.12
406, 0.47
407, 0.16
408, 0.20
409, 0.38
410, 0.04
411, 0.58
412, 0.32
413, 0.26
414, 0.18
415, 0.07
416, 0.46
417, 0.19
418, 0.17
419, 0.60
420, 0.30
421, 0.32
422, 0.47
423, 0.14
424, 0.33
425, 0.33
426, 0.14
427, 0.23
428, 0.19
429, 0.03
430, 0.21
431, 0.92
432, 0.10
433, 0.24
434, 0.60
435, 0.19
436, 0.52
437, 0.60
438, 0.24
439, 0.12
440, 0.30
441, 0.14
442, 0.68
443, 0.31
444, 0.11
445, 0.06
446, 0.43
447, 0.15
448, 0.92
449, 0.29
450, 0.20
451, 0.78
452, 0.67
453, 0.34
454, 0.30
455, 0.09
456, 0.85
457, 0.32
458, 0.55
459, 0.25
460, 0.76
461, 0.08
462, 0.11
463, 0.24
464, 0.32
465, 0.06
466, 0.20
467, 0.41
468, 0.28
469, 0.25
470, 0.39
471, 0.36
472, 0.29
473, 0.52
474, 0.39
475, 0.36
476, 0.26
477, 0.11
478, 0.18
479, 0.21
480, 0.11
481, 0.21
482, 0.43
483, 0.52
484, 0.12
485, 0.83
486, 0.64
487, 0.82
488, 0.56
489, 0.60
490, 0.17
491, 0.13
492, 0.06
493, 0.19
494, 0.50
495, 0.30
496, 0.91
497, 0.68
498, 0.86
499, 0.54
500, 0.25
501, 0.17
502, 0.32
503, 0.18
504, 0.55
505, 0.11
506, 0.42
507, 0.04
508, 0.18
509, 0.26
510, 0.33
511, 0.16
512, 0.24
513, 0.05
514, 0.10
515, 0.54
516, 0.16
517, 0.34
518, 0.45
519, 0.89
520, 0.81
521, 0.30
522, 0.38
523, 0.51
524, 0.22
525, 0.48
526, 0.16
527, 0.34
528, 0.56
529, 0.21
530, 0.18
531, 0.51
532, 0.31
533, 0.18
534, 0.88
535, 0.44
536, 0.33
537, 0.14
538, 0.23
539, 0.35
540, 0.11
541, 0.02
542, 0.76
543, 0.45
544, 0.16
545, 0.67
546, 0.54
547, 0.13
548, 0.81
549, 0.14
550, 0.45
551, 0.22
552, 0.83
553, 0.17
554, 0.24
555, 0.08
556, 0.17
557, 0.16
558, 0.41
559, 0.13
560, 0.21
561, 0.32
562, 0.07
563, 0.22
564, 0.26
565, 0.33
566, 0.06
567, 0.59
568, 0.30
569, 0.25
570, 0.34
571, 0.13
572, 0.10
573, 0.42
574, 0.53
575, 0.34
576, 0.13
577, 0.53
578, 0.23
579, 0.34
580, 0.64
581, 0.14
582, 0.59
583, 0.47
584, 0.07
585, 0.22
586, 0.75
587, 0.51
588, 0.11
589, 0.88
590, 0.05
591, 0.11
592, 0.88
593, 0.39
594, 0.24
595, 0.43
596, 0.41
597, 0.33
598, 0.19
599, 0.19
600, 0.39
601, 0.23
602, 0.22
603, 0.86
604, 0.05
605, 0.08
606, 0.48
607, 0.03
608, 0.38
609, 0.31
610, 0.51
611, 0.66
612, 0.43
613, 0.61
614, 0.30
615, 0.05
616, 0.37
617, 0.19
618, 0.07
619, 0.25
620, 0.46
621, 0.69
622, 0.28
623, 0.35
624, 0.23
625, 0.24
626, 0.28
627, 0.27
628, 0.43
629, 0.73
630, 0.53
631, 0.55
632, 0.25
633, 0.11
634, 0.14
635, 0.57
636, 0.42
637, 0.22
638, 0.48
639, 0.21
640, 0.17
641, 0.54
642, 0.39
643, 0.49
644, 0.54
645, 0.03
646, 0.21
647, 0.13
648, 0.15
649, 0.19
650, 0.32
651, 0.25
652, 0.90
653, 0.07
654, 0.17
655, 0.26
656, 0.33
657, 0.78
658, 0.44
659, 0.22
660, 0.87
661, 0.29
662, 0.10
663, 0.11
664, 0.83
665, 0.13
666, 0.13
667, 0.24
668, 0.92
669, 0.17
670, 0.03
671, 0.14
672, 0.16
673, 0.07
674, 0.20
675, 0.55
676, 0.25
677, 0.46
678, 0.22
679, 0.19
680, 0.84
681, 0.30
682, 0.21
683, 0.84
684, 0.47
